time,id,mA,V,W
12.897,B,398.920,4.060,1.620
12.917,B,402.600,4.060,1.635
12.936,B,384.720,4.060,1.562
12.956,B,363.000,4.070,1.477
12.976,B,392.000,4.070,1.595
12.996,B,401.800,4.070,1.635
13.016,B,385.720,4.050,1.562
13.033,B,340.920,4.080,1.391
13.054,B,328.400,4.050,1.330
13.074,B,385.200,4.060,1.564
13.094,B,431.200,4.070,1.755
13.114,B,415.000,4.060,1.685
13.134,B,378.520,4.050,1.533
13.152,B,396.320,4.050,1.605
13.173,B,456.120,4.030,1.838
13.192,B,500.120,4.050,2.025
13.213,B,457.920,4.060,1.859
13.232,B,492.800,4.070,2.006
13.250,B,404.120,4.060,1.641
13.271,B,414.520,4.060,1.683
13.290,B,361.400,4.080,1.475
13.311,B,316.920,4.070,1.290
13.331,B,313.320,4.070,1.275
13.350,B,317.400,4.080,1.295
13.369,B,317.520,4.070,1.292
13.390,B,314.400,4.070,1.280
13.409,B,325.400,4.070,1.324
13.430,B,315.520,4.070,1.284
13.448,B,319.200,4.070,1.299
13.468,B,316.600,4.070,1.289
13.488,B,388.600,4.080,1.585
13.507,B,309.200,4.060,1.255
13.528,B,398.800,4.060,1.619
13.546,B,397.000,4.060,1.612
13.566,B,415.120,4.060,1.685
13.586,B,448.320,4.050,1.816
13.606,B,491.920,4.030,1.982
13.626,B,539.320,4.050,2.184
13.647,B,758.200,4.010,3.040
13.664,B,760.320,4.010,3.049
13.685,B,797.600,4.020,3.206
13.704,B,792.200,4.030,3.193
13.725,B,777.000,4.010,3.116
13.745,B,619.520,4.070,2.521
13.762,B,684.800,4.020,2.753
13.783,B,706.920,4.030,2.849
13.802,B,678.600,4.080,2.769
13.823,B,522.400,4.050,2.116
13.843,B,508.000,4.050,2.057
13.862,B,508.120,4.050,2.058
13.881,B,516.600,4.050,2.092
13.902,B,512.720,4.040,2.071
13.921,B,514.200,4.050,2.083
13.942,B,521.120,4.050,2.111
13.960,B,517.000,4.050,2.094
13.979,B,505.400,4.050,2.047
14.000,B,520.800,4.050,2.109
14.020,B,601.320,4.020,2.417
14.040,B,558.920,4.040,2.258
14.060,B,501.000,4.050,2.029
14.078,B,266.920,4.090,1.092
14.098,B,427.600,4.050,1.732
14.119,B,438.000,4.050,1.774
14.138,B,475.000,4.040,1.919
14.159,B,549.120,4.030,2.213
14.176,B,528.400,4.040,2.135
14.197,B,470.400,4.080,1.919
14.216,B,391.720,4.080,1.598
14.236,B,389.000,4.070,1.583
14.257,B,408.400,4.050,1.654
14.275,B,383.920,4.070,1.563
14.295,B,466.320,4.030,1.879
14.315,B,539.120,4.050,2.183
14.335,B,553.400,4.040,2.236
14.355,B,547.200,4.040,2.211
14.374,B,544.800,4.050,2.206
14.393,B,404.720,4.070,1.647
14.414,B,433.000,4.060,1.758
14.433,B,420.800,4.060,1.708
14.453,B,383.520,4.080,1.565
14.472,B,395.920,4.070,1.611
14.491,B,472.720,4.050,1.915
14.512,B,468.400,4.110,1.925
14.532,B,425.720,4.040,1.720
14.552,B,460.920,4.050,1.867
14.572,B,383.400,4.090,1.568
14.590,B,458.400,4.050,1.857
14.610,B,460.520,4.050,1.865
14.631,B,428.720,4.060,1.741
14.650,B,294.520,4.090,1.205
14.671,B,269.000,4.090,1.100
14.688,B,239.400,4.050,0.970
14.708,B,271.800,4.060,1.104
14.729,B,267.400,4.090,1.094
14.748,B,258.400,4.070,1.052
14.769,B,227.920,4.050,0.923
14.787,B,328.720,4.060,1.335
14.807,B,262.400,4.070,1.068
14.827,B,254.520,4.090,1.041
14.847,B,253.320,4.090,1.036
14.867,B,248.720,4.080,1.015
14.886,B,251.000,4.080,1.024
14.905,B,232.520,4.080,0.949
14.925,B,246.520,4.080,1.006
14.946,B,234.120,4.060,0.951
14.965,B,290.720,4.070,1.183
14.986,B,411.720,4.060,1.672
15.003,B,413.720,4.070,1.684
15.024,B,386.800,4.060,1.570
15.044,B,377.920,4.100,1.549
15.064,B,354.120,4.100,1.452
15.084,B,313.120,4.060,1.271
15.102,B,290.520,4.080,1.185
15.122,B,272.800,4.070,1.110
15.143,B,267.800,4.090,1.095
15.162,B,260.000,4.090,1.063
15.182,B,245.520,4.070,0.999
15.201,B,228.200,4.090,0.933
15.220,B,233.400,4.090,0.955
15.241,B,215.720,4.080,0.880
